title,objectid,parentid,filename,format,country,province,city,latitude,longitude,date,season,subject,materials,mass produced vs. hand made,gifted,trip,audio file,description
Wyoming Diamond Magnet,wyoming-diamond-magnet,,wyomingdiamond.JPG,image/jpeg,United States of America,Wyoming,,43.17003,-107.56853,2023,Fall,Clothes,Plastic,Mass-produced,Not gifted,,,"This Wyoming magnet is from the WY Diamond Series. A state collection in which all of the magnets are diamond shaped. It depicts a pair of cowboy boots, a white 10 gallon hat, a red handana, and a coil of rope. ""Wyoming"" is written at the bottom in gold. This magnet was produced by HI-WAY DISTRIBUTING. "
Oklahoma Facts Magnet,oklahoma-facts-magnet,,oklahomabird.JPG,image/jpeg,United States of America,Oklahoma,,35.0078,-97.0929,2024,Spring,Animal/animals; Flag; Phrase; Plant,Plastic,Mass-produced,Not gifted,Route 66,,"This Oklahoma magnet contains facts about the state. It  says ""State: Nov. 16th, 1907 / The 46th State / Area: 69,903 Sq. Miles / 20th in Size / Capital: Oklahoma City / Bird: Scissor-tailed Flycatcher / Flower: Mistletoe / Slogan: 'The Sooner State'"". The magnet also depicts the Oklahoma state flag, the state of Oklahoma, a scissor-tailed flycatcher, and a sprig of mistletoe. ""Oklahoma"" is written in gold at the top. This magnet was produced by HI-WAY DISTRIBUTING."
Illinois Shape Magnet,illinois-shape-magnet,,illinoisstate.JPG,image/jpeg,United States of America,Illinois,,40.6331,-89.3985,2024,Spring,Animal/animals; Food; Phrase; State outline; Map,Plastic,Mass-produced,Not gifted,Route 66,,"This magnet is in the shape of Illinois. It is white with black and blue text and images. It includes all major interstate roads, major cities, an outline of a buck, an ear of corn, a portrait of Abraham Lincoln, an outline of Chicago's skyline, and their slogan ""Land of Lincoln."" This magnet was produced by HI-WAY DISTRIBUTING."
Texas Shape Magnet,texas-shape-magnet,,texasmap.JPG,image/jpeg,United States of America,Texas,,31.9686,-99.9018,2024,Spring,Animal/animals; Map; Plant; State outline,"Metal, Plastic",Mass-produced,Not gifted,Route 66,,"This magnet is a map of Texas. It highlights all major interstates and highways as well as major cities. It also depicts many animals such as monarch butterflies, frogs, cows, and armadillos. It is shiny. ""Texas"" is written in red letters at the top."
New Mexico Route 66 Magnet,new-mexico-route-66-magnet,,newmexicodiner.JPG,image/jpeg,United States of America,New Mexico,,34.9727,-105.0324,2024,Spring,,Plastic,Mass-produced,Not gifted,Route 66,,"This magnet depicts a retro red convertibe car, a gas station, a diner sign, and a Route 66 sign. ""New Mexico"" is written at the bottom in silver. This magnet was produced by HI-WAY DISTRIBUTING."
Missouri Magnet,missouri-magnet,,missouritwain.JPG,image/jpeg,United States of America,Missouri,,37.9643,-91.8318,2024,Spring,Animal/animals; Food; Plant,Plastic,Mass-produced,Not gifted,Route 66,,"This rectangular magnet depicts Mark Twain's face, the St. Louis arch, ears of corn, a guitar, a steam boat, a cannon, a turkey, an ice cream cone, a donkey, a blue bird, and a bunch of hawthorn flowers. It has a slight 3D effect, with the items being raised off the base of the magnet. ""Missouri"" is written at the bottom in white. "
Arizona Route 66 Magnet,arizona-route-66-magnet,,arizonaroute.JPG,image/jpeg,United States of America,Arizona,,34.0489,-111.0937,2024,Spring,,"Plastic, Metal",Mass-produced,Not gifted,Route 66,,"This rectangular magnet is from Arizona. At the top it says ""Historic"" and at the bottom it says ""Route."" There is a shield route marker sign in the middle that says ""Arizona U.S. 66."" It has a brown background with silver accents."
Maryland Flag Magnet,maryland-flag-magnet,,marylandflag.JPG,image/jpeg,United States of America,Maryland,Baltimore,39.2905,-76.6104,2024,Summer,Flag,Plastic,Mass-produced,Not gifted,,,"This magnet depicts the Maryland state flag as the background. There is a raised oval in the middle that says ""Maryland"" at the top and ""The old like state"" at the bottom. In in middle, it says ""MD"" in large black text."
Cafe Du Monde Magnet,cafe-du-monde-magnet,,beignetmix.JPG,image/jpeg,United States of America,Lousiana,New Orleans,29.9579,-90.062,2023,Spring,Food,Plastic,Mass-produced,Not gifted,,,"This magnet is from the Cafe Du Monde gift shop, right across the street from the actual cafe in New Orleans Louisiana. It depicts a box of beignet mix and a cup of coffee. It is a flat image with a coating of resin on top. This magnet was purchased on a spring break trip during my senior year of undergrad. "
Utah Arch Magnet,utah-arch-magnet,,utaharch.JPG,image/jpeg,United States of America,Utah,Salt Lake City,40.7606,-111.8881,2023,Fall,,Plastic,Mass-produced,Not gifted,,,"This rectangular magnet depicts Utah's Arches National Park. It was purchased North of Salt Lake City. In the middle, it says ""Utah"" in large black letters. At the bottom, it says ""Life elevated"" in smaller black letters. This magnet was produced by HI-WAY DISTRIBUTING."
California Redwood Magnet,california-redwood-magnet,,californiatree.JPG,image/jpeg,United States of America,California,Leggett,39.8583984,-123.7192347,2024,Spring,Plant; Phrase,Wood,Mass-produced,Not gifted,,,"This magnet is a small cutting from a tree. Presumably a redwood tree. The design is heat stamped into it. At the top it says ""Drive-Thru-Tree"" and at the bottom it says ""Underwood Park."" In the middle the phrase ""Real California Redwoos"" encircles a redwood tree. This magnet was purchased at the drive through tree giftshop in Leggett, California. "
Iowa Ope Magnet,iowa-ope-magnet,,opeiowa.JPG,image/jpeg,United States of America,Iowa,Walcott,41.61749753,-90.7749969,2023,Fall,Phrase; State outline,Plastic,Mass-produced,Not gifted,,,"This magnet is in the shape of the state of Iowa. It has a red and black flannel background with the phrase ""Ope Sorry"" in large silver letters. This magnet was purchased at the world's largest truck stop on I-80 in Walcott, Iowa. "
Nebraska Magnet,nebraska-magnet,,nebraskadino.JPG,image/jpeg,United States of America,Nebraska,,41.4925,-99.9018,2023,Fall,Animal/animals; State outline,Plastic,Mass-produced,Not gifted,,,"This rectangular matnet depicts the state of Nebraska in the background, including major roads and cities. In the foreground, slightly raised, there is a windmill, a t-rex skull, a red barn with a pig, a covered wagon, and a bison."
Wisconsin Cheese Castle Magnet,wisconsin-cheese-magnet,,cheesecastle.JPG,image/jpeg,United States of America,Wisconsin,Kenosha,42.6147,-87.9543,2023,Summer,,Plastic,Mass-produced,Not gifted,,,"This magnet is from the Mars Cheese Castle in Kenosha, Wisconsin. It has a white background with raised blue text and graphics. The magnet is in a wavy circular shape. Around the edge of the magnet it says ""Mars Cheese Castle EST. 1947 Kenosha, WI."" In the middle, there is a picture of a castle, a planet with a ring, and the word ""Mars."" "
Oregon Cat Magnet,oregon-cat-magnet,,oregoncat.JPG,image/jpeg,United States of America,Oregon,Portland,45.5232,-122.6814,2023,Fall,Animal/animals; State outline,Wood,Mass-produced,Not gifted,,,"This magnet is made of wood and has a green image of Oregon on it. The inside of the state is drawn to resemble a cat. This magnet was purchased at Powell's City of Books in Portland, Oregon."
Pennsylvania Book Magnet,pennsylvania-book-magnet,,pabook.JPG,image/jpeg,United States of America,Pennsylvania,Selinsgrove,40.799,-76.8622,2022,,Plant,Wood,Mass-produced,Not gifted,,,"This magnet was purchased at a thrift store called The Mustard Seed in Selinsgrove, Pennsylvania, home of my undergrad alma mater. It is a small, light blue, wooden book. There are three pink tulips tied together with a white ribbon painted on the front along with the phrase ""Thanks a Bunch.""  "
Idaho Bear Magnet,idaho-bear-magnet,,idahobear.JPG,image/jpeg,United States of America,Idaho,,44.0682,-114.742,2023,Fall,Flag; Animal/animals,"Metal, Wood",Mass-produced,Not gifted,,,"This magnet is made of wood and metal. It is very 3D and sticks out from the base an inch and a half. The top part depicts the Idaho state flag. There are two small chains hanging of of the flag. Attached to the chains is a small wooden bear with ""IDAHO"" printed in the middle. "
Arizona Rock Magnet,arizona-rock-magnet,,arizonarock.JPG,image/jpeg,United States of America,Arizona,Valle,35.6521,-112.1394,2024,Spring,,Rock,Handmade,Not gifted,Route 66,,"This magnet is a chunk of kyanite mineral. It was purchased at a store called ""Rocks&More"" in Valle, Arizona."
Wisconsin Fish Boil Magnet,wisconsin-fish-boil-magnet,,fishboil.JPG,image/jpeg,United States of America,Wisconsin,Door County,45.1114,-87.0471,unknown,,Food,Plastic,Mass-produced,Not gifted,,,"This magnet was taken from my Grandma Dye's fridge after she died in 2024. It is from Door County, Wisconsin, a favorite vacation spot of my family. It dictates a recipe for a fish boil that serves 50. At the top, it says ""Door County Fish Boil."" In the bottom right corner there is a large pot over a fire with a fish tale sticking out. There is a bag of potatoes and some loose onions at the base of the pot. "
Dublin Guinnes Magnet,dublin-guinness-magnet,,guinnesstoucan.JPG,image/jpeg,Ireland,Leinster,Dublin,53.3418,-6.2867,2023,Summer,Animal/animals; Food,Wood,Mass-produced,Not gifted,Europe 2023,,"This rectangular magnet is from the Guinness Factory in Dublin, Ireland. It depicts a toucan, a past mascot of Guinness, balancing a pint of Guinness on its beak. The city of Dublin and a smiling sun are in the background. The toucan is perched on a weathervane. At the top it says ""Lovely day for a Guinness"" and at the bottom it says ""Ireland."""
Alicante House Magnet,alicante-house-magnet,,alicantebuilding.JPG,image/jpeg,Spain,Valencia,Alicante,38.3458,-0.4909,2022,Winter,House,Wood,Mass-produced,Not gifted,Europe 2022,,"This magnet depicts a blue three story building. It says ""Alicante"" in the bottom left corner, which is where it was purchased. The bottom floor of the building is a store, the second floor has a balcony with plants, and the third has a balcondy with clothes drying on a clothes line. According to a sticker on the back, it was made by Miduart and manufactured in Spain. "
Florence David Magnet,florence-david-magnet,,florencedavid.JPG,image/jpeg,Italy,Tuscany,Florence,43.77,11.2577,2022,Spring,,Ceramic,Mass-produced,Not gifted,Europe 2022,,"This ceramic magnet is from Florence, Italy. It's square with a red background. On the left side, there is an etching of the statue of David's face in white. On the right, it says ""Firenze,"" which is Italian for Florence. "
Vršac Mushroom House Magnet,vršac-mushroom-house-magnet,,vrsacmushroom.JPG,image/jpeg,Serbia,Vojvodina,Vršac,45.1188,21.295,2022,Summer,House,Wood,Handmade,Gifted,,,"This magnet is from Vršac, Serbia. It is a small pink house with a purple roof with white dots and a blue door with a heart. It is made to be in the shape of a mushroom. On the roof Vršac is written in cyrillic, ""Вршац."" It was gifted to me by my friend Suki Sasic."
Burton Painting Magnet,burton-painting-magnet,,turretstairs.JPG,image/jpeg,Ireland,Leinster,Dublin,53.3498,-6.2603,2023,Summer,,Plastic,Mass-produced,Not gifted,Europe 2023,,"This rectangular magnet depicts the painting ""The Meeting on the Turret Stairs,"" by Frederic William Burton. It was painted in London, England in 1864 with watercolor and gouache. It was purchased at the National Gallery of Ireland. I did not get to see the painting in person as it is only available to be viewed for a few hours a week due to the delicacy of watercolors. "
Vršac Airplane Magnet,vršas-airplane-magnet,,vrsacplane.JPG,image/jpeg,Serbia,Vojvodina,Vršac,45.1188,21.295,2022,Summer,,Ceramic,Mass-produced,Gifted,,,"This magnet is from Vršac, Serbia. The magnet base is in the shape of a cloud. At the bottom, there is an airplane with ""SRBIJA"" written on the side, which is serbian for Serbia in the latin alphabet. Above that is a fortress called Vršački zamak, or Vršac Castle in English. It is a fortress that was build in 1335. This magnet was gifted to me by my friend Suki Sasic."
Pink Prague Magnet,pink-prague-magnet,,pinkprague.JPG,image/jpeg,Czech Republic,Central Bohemian,Prague,50.0755,14.4378,2023,Summer,House,Ceramic,Mass-produced,Not gifted,Europe 2023,,"This magnet is from Prague. It was purchased in a gift shop. The magnet is in the shape of a two story house. The base of the house is pink and the roof and other details are blue. The word ""PRAHA"" is painted on the front, which is Czech for Prague."
Blue Prague Magnet,blue-prague-parent,,,compound_object,Czech Republic,Central Bohemian,Prague,50.0755,14.4378,2023,Summer,House,Ceramic,Mass-produced,Not gifted,Europe 2023,,"This magnet is from Prague. It was purchased in a gift shop. The magnet is in the shape of a four story building. The building itself is blue and the door is brown. The details, such as the windows and the siding, are orange. ""Praha"" is painted on the front in orange and white. Praha is Czech for Prague."
Blue Prague Magnet,blue-prague-magnet,blue-prague-parent,blueprague.JPG,image/jpeg,Czech Republic,Central Bohemian,Prague,50.0755,14.4378,2023,Summer,House,Ceramic,Mass-produced,Not gifted,Europe 2023,,"This magnet is from Prague. It was purchased in a gift shop. The magnet is in the shape of a four story building. The building itself is blue and the door is brown. The details, such as the windows and the siding, are orange. ""Praha"" is painted on the front in orange and white. Praha is Czech for Prague."
Blue Prague Magnet Audio,suki-prague-audio,blue-prague-parent,sukiprague,audio/mp3,Czech Republic,,,,,,Summer,House,Ceramic,Mass-produced,Not gifted,Europe 2023,yes,This is a short conversation between Suki and myself about our trip to Prague.
Pennsylvania Beetle Magnet,pennsylvania-beetle-magnet,,treebug.JPG,image/jpeg,United States of America,Pennsylvania,Lewisburg,40.9645,-76.8844,2023,Spring,Animal/animals,Wood,Handmade,Not gifted,,,"This wooden magnet is made from a slide of a tree branch. A beetle is drawn on the front in black ink. The magnet is signed ""NIGH"" at the bottom. This magnet was purchased in Lewisburg, Pennsylvania at a second-hand bookstore called Mondragon Books."
Door County Lighthouse Magnet,door-county-lighthouse-magnet,,doorcountylighthouse.JPG,image/jpeg,United States of America,Wisconsin,Door County,45.1114,-87.0471,unknown,,,Plaster,Mass-produced,Gifted,,,"This magnet is from Door County, Wisconsin, a popular vacation spot in the Great Lakes region. It was on my Grandma's fridge for many years before she passed. It depicts a lighthouse with black and white stripes and an inn to the left side."
Green Tile Magnet,green-tile-magnet,,greentile.JPG,image/jpeg,Hungary,Budapest,Budapest,47.4979,19.0402,2022,Summer,,Ceramic,Mass-produced,Not gifted,Europe 2022,,This rectangular magnet emulates a ceramic tile. It is light green with a floral pattern embossed on it. It was purchased at a giftshop outside of Matthias Church.
Barcelona Chat Magnet,barcelona-chat-magnet,,chatnoir.JPG,image/jpeg,Spain,Catalonia,Barcelona,41.3684,2.1536,2023,Summer,Animal/animals,Plastic,Mass-produced,Not gifted,Europe 2023,,"This magnet depicts the 1898 painting Tournée du Chat Noir. It was painted by Theophile Alexandre Steinlen, a French painter. The painting is of a black cat sitting on a red sign that says ""de Rodolphe Salis."""
Teapot House Magnet,teapot-house-magnet,,,compound_object,Serbia,,Belgrade,44.8125,20.4612,2022,Summer,House,Wood,Handmade,Not gifted,Europe 2022,,"This magnet depicts a small houes made of two teapots stacked on top of each other. The teapots are green and the lid or roof is red. This magnet was purchased from a street artist in Belgrade, Serbia. The artist hand paints every magnet."
Teapot House Magnet Audio,teapot-house-magnet-audio,teapot-house-magnet,sukiteapot.mp3,audio/mp3,Serbia,,Belgrade,44.8125,20.4612,2022,Summer,House,Wood,Handmade,Not gifted,Europe 2022,,"This magnet depicts a small houes made of two teapots stacked on top of each other. The teapots are green and the lid or roof is red. This magnet was purchased from a street artist in Belgrade, Serbia. The artist hand paints every magnet."
Teapot House Magnet Image,teapot-house-magnet-image,teapot-house-magnet,belgradeteapot.JPG,image/jpeg,Serbia,,Belgrade,44.8125,20.4612,2022,Summer,House,Wood,Handmade,Not gifted,Europe 2022,,"This magnet depicts a small houes made of two teapots stacked on top of each other. The teapots are green and the lid or roof is red. This magnet was purchased from a street artist in Belgrade, Serbia. The artist hand paints every magnet."
Lady Agnew Magnet,lady-agnew-magnet,,scotlandsargent.JPG,image/jpeg,United Kingdon,Scotland,Edinburgh,55.9509,-3.1957,2022,Spring,,Plastic,Mass-produced,Not gifted,Europe 2022,,"This rectangular magnet depicts the painting ""Lady Agnew of Lochnaw,"" which was painted by John Singer Sargent between 1892 and 1893. The back of the magnet details that the painting is oil on canvas and is 127x101 cm. The painting is of a woman, Gertrude Agnew, in a white dress sitting in a high-backed floral chair."
American Visionary Magnet,american-visionary-magnet,,visionarymuseum.JPG,image/jpeg,United States of America,Maryland,Baltimore,39.27483223,-76.60416425,2024,Spring,,Plastic,Mass-produced,Not gifted,,,"This magnet is from the American Visionary Art Museum in Baltimore, Maryland. It is in the shape of a hand. The word ""howdy"" is spelled out with one letter on the tip of each finger. There is an eye on the palm of the magnet. The background is dark blue with yellow stars. ""American Visionary Art Museum"" is written at the bottom in red, blue, and yellow. "
Joshua Tree Magnet,joshua-tree-magnet,,tabbyroad.JPG,image/jpeg,United States of America,California,,33.8734,-115.901,2024,Spring,Animal/animals,Plastic,Handmade,Not gifted,Route 66,,"This magnet depicts four cats crossing the road via a crosswalk à la the Abbey Road album cover from the Beatles. At the top of the magnet is written ""Tabby Road Joshua Tree."" This magnet was purchased at an artist's co-op right outside the World Famous Crochet Museum in Joshua Tree National Park."
Porto Tile Magnet,porto-tile-magnet,,portotile.JPG,image/jpeg,Portugal,Norte,Porto,41.1579,-8.6291,2022,Spring,,Ceramic,Mass-produced,Not gifted,Europe 2022,,"This rectangular magnet depicts an array of painted blue ceramic tiles. The word ""Portugal"" is printed in the bottom right corner. This magnet was purchased in a gift shop in Porto, Portugal."
Lisbon Tile Magnet,lisbon-tile-magnet,,lisbontile.JPG,image/jpeg,Portugal,Lisboa,Lisbon,38.7223,-9.1393,2022,Spring,,Ceramic,Mass-produced,Not gifted,Europe 2022,,"This square magnet has a white background and the image is printed in blue ink. It is meant to emulate a traditional portuguese ceramic tile. The image is of a tram car driving down a residential street. ""Lisboa Portugal"" is written at the bottom. It was purchased in a gift shop in Lisbon, Portugal. "
Museu Catalunya Magnet,museu-catalunya-magnet,,cataloniamuseum.JPG,image/jpeg,Spain,Catalonia,Barcelona,41.3684,2.1536,2023,Summer,,Ceramic,Mass-produced,Not gifted,Europe 2023,,This square magnet depicts the National Art Museum of Catalonia. It is made of ceramic and the image is embossed and painted on. It was purchased in the museum gift shop.
Three Tillamook Magnets,three-tillamook-magnets,,threecheeses.JPG,image/jpeg,United States of America,Oregon,Tillamook,45.484,-123.8443,2024,Spring,Food,Plastic,Mass-produced,Not gifted,,,"This set of three magnets was purchased at the Tillamook Creamery gift shop in Tillamook, Oregon. They are meant to be blocks of cheddar cheese. The yellow magnet says ""medium cheddar,"" the red magnet says ""sharp cheddar,"" and the navy blue magnet says ""extra sharp cheddar."" "
Three Oranges,three-oranges-magnets,,,compound_object,Serbia,Vojvodina,Vrśac,45.1188,21.295,2023,Summer,Food,Plaster,Handmade,Not gifted,Europe 2023,yes,"These three circular magnets are made to look like oranges. One is a whole orange, unpeeled, and the other two are sliced oranges where you can see each individual segment. They were purchased from an artist at Vrsacki Venac, which is the Festival of the Wreath of Vrśac."
Three Oranges Audio,three-oranges-audio,three-oranges-magnets,sukithreeoranges,audio/mp3,,,,,,,Summer,,,Handmade,Not gifted,Europe 2023,yes,
Three Oranges Magnets Image,three-orange-magnets-image,three-oranges-magnets,threeoranges.JPG,image/jpeg,Serbia,Vojvodina,Vrśac,45.1188,21.295,2023,Summer,Food,Plaster,Handmade,Not gifted,Europe 2023,yes,"These three circular magnets are made to look like oranges. One is a whole orange, unpeeled, and the other two are sliced oranges where you can see each individual segment. They were purchased from an artist at Vrsacki Venac, which is the Festival of the Wreath of Vrśac."
Plaster Bust Magnet,plaster-bust-magnet,,,compound_object,Serbia,Vojvodina,Vrśac,45.1188,21.295,2022,Summer,,Plaster,Mass-produced,Not gifted,Europe 2022,,"This magnet is made to look like a plaster bust in Vrsacki Musej, the Vrśac Museum of Art. It was purchased in the museum gift shop. It is made of white plaster."
Plaster Bust Magnet Audio,plaster-bust-magnet-audio,plaster-bust-magnet,sukiplasterbust,audio/mp3,Serbia,Vojvodina,Vrśac,45.1188,21.295,2022,Summer,,Plaster,Mass-produced,Not gifted,Europe 2022,,"This magnet is made to look like a plaster bust in Vrsacki Musej, the Vrśac Museum of Art. It was purchased in the museum gift shop. It is made of white plaster."
Plaster Bust Magnet,plaster-bust-magnet-image,plaster-bust-magnet,vrsacbust.JPG,image/jpeg,Serbia,Vojvodina,Vrśac,45.1188,21.295,2022,Summer,,Plaster,Mass-produced,Not gifted,Europe 2022,,"This magnet is made to look like a plaster bust in Vrsacki Musej, the Vrśac Museum of Art. It was purchased in the museum gift shop. It is made of white plaster."
Gijón Statue Magnet,gijón-statue-magnet,,gijonsign.JPG,image/jpeg,Spain,Asturias,Gijón,43.5322,-5.661,2022,Spring,,Metal,Mass-produced,Not gifted,Europe 2022,,"This magnet is a miniature version of a large statue in the costal city of Gijón, Spain. It is made of metal and the word ""gijón"" is written in red, lowercase letters. It was purchased in a gift shop during a solo trip I took to Asturias, Spain to visit my former host mom."